iputils 20210202-1
iredis 1.9.1-9
iso-codes 4.6.0-1
iw 5.9-1
jack 0.125.0-9
jansson 2.13.1-1
jasper 2.0.28-1
jbig2dec 0.19-1
js78 78.10.0-1
json-c 0.15-1
json-glib 1.6.2-1
jsoncpp 1.9.4-1
kaccounts-integration 21.04.0-1
kactivities 5.81.0-1
kactivities-stats 5.81.0-1
kactivitymanagerd 5.21.5-1
karchive 5.81.0-1
kate 21.04.0-1
kauth 5.81.0-1
kbd 2.4.0-2
kbookmarks 5.81.0-1
kcalc 21.04.0-1
kcharselect 21.04.0-1
kcmutils 5.81.0-1
kcodecs 5.81.0-1
kcolorchooser 21.04.0-1
kcolorpicker 0.1.5-1
kcompletion 5.81.0-1
kconfig 5.81.0-1
kconfigwidgets 5.81.0-1
kcontacts 1:5.81.0-1
kcoreaddons 5.81.0-1
kcrash 5.81.0-1
kcron 21.04.0-1
kdbusaddons 5.81.0-1
kde-cli-tools 5.21.5-1
kde-dev-scripts 21.04.0-1
kde-dev-utils 21.04.0-1
kde-gtk-config 5.21.5-1
kdeclarative 5.81.0-1
kdeconnect 21.04.0-1
kdecoration 5.21.5-1
kded 5.81.0-1
kdelibs4support 5.81.0-1
kdenetwork-filesharing 21.04.0-1
kdeplasma-addons 5.21.5-1
kdesdk-thumbnailers 21.04.0-1
kdesu 5.81.0-1
kdialog 21.04.0-1
kdnssd 5.81.0-1
kdsoap 1.10.0-1
kdsoap-ws-discovery-client git20200927-1
keepassxc 2.6.4-1
kemoticons 5.81.0-1
keyutils 1.6.3-1
kfilemetadata 5.81.0-1
kfind 21.04.0-1
kgamma5 5.21.5-1
kglobalaccel 5.81.0-1
kgpg 21.04.0-1
kguiaddons 5.81.0-1
kholidays 1:5.81.0-1
khotkeys 5.21.5-1
ki18n 5.81.0-1
kiconthemes 5.81.0-1
kidletime 5.81.0-1
kimageannotator 0.4.2-1
kinfocenter 5.21.5-1
kinit 5.81.0-1
kio 5.81.0-1
kio-extras 21.04.0-2
kirigami2 5.81.0-1
kitemmodels 5.81.0-1
kitemviews 5.81.0-1
kjobwidgets 5.81.0-1
kmag 21.04.0-1
kmenuedit 5.21.5-1
kmime 21.04.0-1
kmix 21.04.0-1
kmod 28-1
kmousetool 21.04.0-1
kmouth 21.04.0-1
knewstuff 5.81.0-1
knotifications 5.81.0-1
knotifyconfig 5.81.0-1
kolourpaint 21.04.0-1
konsole 21.04.0-2
kontrast 21.04.0-1
kpackage 5.81.0-1
kparts 5.81.0-1
kpeople 5.81.0-1
kpeoplevcard 0.1-1
kpimtextedit 21.04.0-1
kpmcore 21.04.0-1
kpty 5.81.0-1
kquickcharts 5.81.0-1
krb5 1.19.1-1
krdc 21.04.0-1
kross 5.81.0-1
krunner 5.81.0-1
kscreen 5.21.5-1
kscreenlocker 5.21.5-1
kservice 5.81.0-1
ksshaskpass 5.21.5-1
ksysguard 5.21.5-1
ksystemlog 21.04.0-1
ktexteditor 5.81.0-1
ktextwidgets 5.81.0-1
ktorrent 21.04.0-1
kunitconversion 5.81.0-1
kuserfeedback 1.0.0-1
kwallet 5.81.0-1
kwallet-pam 5.21.5-1
kwalletmanager 21.04.0-1
